SnippetId,RevisionType,RevCount
162-4,,0
201-2,1,1
215,,0
480,4,2
483,,0
720,,0
777,,0
1447,,0
1816,3,1
3978,3,1
6448,3,1
6662,,0
6725,,0
8036,,0
8617,3,2
9314,2,2
9539,2,1
9630,3,2
9767,,0
10407,,0
10534,,0
13135,,0
13260-3,,0
13260-4,,0
13267-4,,0
14055-2,,0
16003,,0
17025,,0
17225,,0
17504-3,,0
17504-4,,0
17614-2,,0
17614-3,,0
17614-4,,0
18116,,0
18221,4,1
18281,,0
19007,,0
19109-4,,0
19109,,0
19457,,0
20885,3,2
20913,,0
21189,,0
21257,3,8
21554,4,2
21592,,0
22175,,0
22357-3,,0
22408,3,1
22739,3,1
23279-2,,0
23279,,0
23742-2,,0
25272-2,,0
25280,,0
25727,,0
29060,3,2
29644,,0
30354-3,,0
30709-2,,0
31263,,0
31506,,0
32272-3,,0
32358,,0
32575,1,1
33039,3,2
33317-2,,0
33584,,0
34514-2,,0
35257,,0
36480,3,2
37340-2,,0
37727,3,1
38542-2,,0
39514-3,,0
40174,2,1
41863,,0
43561,3,1
43738,,0
43901,1,1
43983-2,,0
45499,1,1
46017,,0
46270,,0
47455-2,3,1
48446,3,2
48548,,0
48771,,0
49261,,0
49293,3,2
49302,4,1
49320,,0
50682-2,,0
52585-2,,0
52689,,0
55516,1,1
56667,,0
56805,,0
57798,4,1
58314,,0
60282,,0
60865,4,1
60892,,0
61130-2,,0
61130-4,,0
61306,,0
61477,,0
61804,,0
62238,,0
63116,,0
63357-3,,0
65502,4,1
65794,,0
65816,,0
65960-2,,0
65960,,0
67155,3,1
68437,,0
68471,2,2
68873,,0
69577-2,,0
69663,,0
70083,,0
70949,,0
70967,,0
71425,,0
71522,,0
72078-2,,0
72364,,0
72589,,N/A
72696,,0
73263,,0
74704,,0
75610-6,3,1
76183,1,2
76241,1,1
76380,,0
77364,,0
77629,3,1
78070-2,1,1
78983,,0
79160,,0
80158-2,,0
80289-4,,0
80451,,0
80731-3,,0
80731-4,,0
81112-2,,0
81461,3,1
81464-2,,0
82124,,0
83308,,0
84423,3,1
84451,,0
84623,,0
84823-2,,0
85288-2,,0
85328,3,1
85400,3,2
85518,,0
86238,,0
