PostId,Body
10407,"I do not claim this method for my own, but I found this neat trick on the webpage MUX-DEMUX: CD4051 Parlor TricksWhatever method you choose to use to drive outputs or read inputs (shift registers, multiplexors or the straightforward direct use of the Arduino pins themselves) you can DOUBLE the number of outputs or inputs by a clever use of parallel circuit pairs (to form a dual input or output bank), employing diodes in opposing senses on each parallel branch, and switching the inputs/outputs to high and low.To illustrate the method for outputs (LEDs in this case, note that the extra diodes are not required):If you consider the pair of LEDs in this example to be a ""bank"", and
  you want to light LED_0, you need to set PIN 17 to HIGH, and PIN 18 to
  LOW. (The pin numbers are confusing, but they match the later example
  so bare with me). To light LED_1, you just reverse the PINS. The diode
  nature of LEDs keeps the current from flowing the opposite direction
  keeping the other one off.To illustrate the method for inputs (CdSs in this case, note that the extra diodes are required):This gets a little more complicated if you want to do an analog read
  on a CdS light sensor. First, you need to add a diode to each sensor
  to control the flow. Second, since you are reading values, you need to
  pull the inputs high or low to keep them from floating. Being a lazy
  person, I'm going to pull them high using the internal pull-up
  resistors. To read CdS_0, you set PIN 17 mode to OUTPUT and set it to
  LOW. This makes it the ground. Then you set PIN 18 mode to INPUT and
  set it to HIGH to engage the pull-up resistor. Now you are set to do a
  read on PIN 18 (a.k.a. analog pin 4). To access the other sensor, just
  switch the modes and outputs.So, if you have a CD4051 8 port multiplexor, using 5 pins on the Arduino (instead of the usual 3), you can obtain 16 inputs or outputs, or a mix of the two.Likewise, if you have a 4067 16 port multiplexor you can obtain 32 inputs or outputs, or a mix of the two.An example sketch would be:Like I said in the first line, the full explanation can be found on MUX-DEMUX: CD4051 Parlor Tricks"
10534,"I've built This circuit without C4 and everything after R4 (no rectifier, not a single diode used). R4 has to be switched for 100kOhms, since this gives a 100x amplification. I guess this is simple enough for most people.
Thanks for the hints.The following code can be used to detect claps/noises. It is restricted to a double-clap with silence in between. Parameters can be easily tuned. This works quite well for me, even when I play noise/TV/music to the speaker directly it triggers rarely, or not at all!"
12208,
13135,"If you want to fade all the LEDs form blue to red at the same time, I think you want code like this (explanatory comments embedded)..."
13137,"If you want to fade all the LEDs form blue to red at the same time, I think you want code like this (explanatory comments embedded)..."
13260,"I would recommend starting out with some easy stuff you understand or making code yourself... Starting out with code you don't understand will backfire you.I'll explain the code for you anyway.This part will ""set everything up"". The serial connection and the direction (in/output) of the pin(s).Somehow did the person who made this think it was logical to put this here instead of on the very top of code. There are 2 integer variables declared here of which one is initialized with 0. (f).This part of the code (untill the very last bracket) will be ran continiously, in a ""loop"". Many, if not all, embedded systems will run ""forever"".This is basically a ""flag"", it indicates if something has, or has not happened. At this point it's only initialized.Also we're keeping a buffer (text string) of the characters we receive.Check if there are characters in our serial buffer.If so, we empty our own buffer.And keep doing this code.We wait until the next character is ready.And add it to our buffer.But when we see our buffer ends with \r\n\r\n (carriage return, line break x2).We're going to set te flag, indicating that we have received a message.
And we stop the: ""Keep doing this code"".So we had this message, right? Let's do the following:Parse the variable in the GET request (f=??) to an int.Send a 200OK (with body) back to the thing that sent the http request (actually pretty neat to do so.)We also keep doing this blinking. (Fun fact: While receiving/sending stuff, your blinking will stop/desync. This is because the receive/send code is blocking the blinking code. Making the blinking hardware and/or receive/send interrupt based will improve the systems reaction time and efficiency.)But how will we make this better? Or atleast easier to read?
By using functions, you can split up the code, and giving the functions a logic name, it all becomes quite obvious. The whole thing is doing 3 jobs:
Blinking a led on a given frequency.
Receiving requests/commands through serial (handling serial).
And handling these requests afterwards.V2 (more likely to compile, but kinda changes the structure):We can even make it more nicer by:"
13267,"Here is my take at this. I realize that I did not really make the
program simpler, but hopefully better in some respects, as it avoids
blocking reads and heap memory allocation. Be warned however that I did
not test it. It compiles fine though.Preamble, hopefully simple enough that it requires no comments:Next, here is a function to read the HTTP request. A few things are
worth noting in this function:Parsing the request is done by a different function. Here, I do not
search for the ""GET /blink?f="" string, because it must be at the very
beginning for the request to be valid.Now we can send the response to the client, telling it how we parsed the
frequency. I avoid using String, as it involves heap allocation, and I
put the bulk of the response in PROGMEM (F() macro) to save RAM. I
also added a <title> to make it valid HTML.The next function blinks the LED in a rollover-safe fashion. Storing the
current LED state in a static variable avoids a call to digitalRead().Putting it all together, the main loop() ends up being quite straight
forward:PS: My version is significantly larger than the original at the
source level (66 v.s. 44 source lines of code), but the compiled program
is smaller in both flash and RAM usage:"
14050,"The problem was two pronged---both the copy/paste error that @Gerben pointed out, as well as the incorrect if-else statements that @BrettAM pointed out. Below is the working code: "
14055,"I suggest you first find what your Yamaha is sending you. I have a sketch that decodes MIDI for the Uno (assuming you have a Uno lying around). Run that, and see if you got note on with velocity zero, or note off. Then you are a little closer to solving the problem.This part is quite wrong:You are reading 3 bytes, even if none are available. At least change it to:The do ... while construct tests at the end of the loop. You must ensure you have 3 bytes ""available"" before reading 3 of them, not after.The code below is an adaptation of the MIDI decoder in my link above. This one just reads the incoming MIDI and turns on the LED on a ""note on"" and turns it off on a ""note off"" (or note on with velocity zero). Tested, works perfectly.From a comment:the 4N35 is too slow to work reliably with MIDI signalsBelow is an updated schematic that uses a faster opto-coupler.Admittedly the 4N35 is below spec for its rise time (it is supposed to be  less than 2 μs rise time, however the 4N35 is slower at between 3 µs and 7 µs). However during my testing it worked OK. It sounds like the faster rise time is specified to allow for multiple devices to be connected in series, a slow rise time will introduce distortion."
14169,"After reading the datasheet on the PS manual, I found out that the INT1 pulse had a width of 50uS.So what I simply did was to declare a global integer and check it at the end of the loop.Whenever I checked the incremented variable at the end, it was 48!.I personally suspected that my loop speed was to slow. Additionally the timeout value 14 ms per loop arbitrary. Clearly a disparity exists in the interrupt routine for the sensor and the microcontroller.So what I simply did was to reconfigure the sensor output to a latched signal which clearly solved the problem. I am now getting synchronized interrupt with convincing results.Here is the code:"
