PostId,PostTypeId,ParentId,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastActivityDate,LastEditDate,CommentCount,FavouriteCount
755,2,754,2012-06-26T20:26:18.653,21,,317,,2016-06-29T14:56:25.397,2016-06-29T14:56:25.397,7,
783,2,782,2012-06-27T16:19:02.640,12,,86,,2012-06-27T16:19:02.640,2020-06-16T10:47:29.480,3,
1194,2,1170,2012-07-22T01:46:21.883,3,,610,,2017-02-18T05:47:57.437,2017-02-18T05:47:57.437,1,
1216,2,1207,2012-07-23T12:49:52.797,40,,590,,2012-07-26T10:41:42.077,2012-07-26T10:41:42.077,2,
1259,2,1244,2012-07-24T19:58:29.367,4,,314,,2012-07-24T19:58:29.367,,1,
1317,2,1312,2012-07-27T20:13:34.763,15,,487,,2012-08-02T21:59:27.580,2012-08-02T21:59:27.580,8,
1336,2,1066,2012-07-29T16:41:21.727,4,,840,,2012-07-29T16:41:21.727,,0,
1347,2,1346,2012-07-30T14:39:17.807,17,,56,,2019-10-11T09:07:56.520,2019-10-11T09:07:56.520,7,
1407,2,1284,2012-08-02T13:46:42.107,11,,506,,2012-08-02T13:55:31.267,2012-08-02T13:55:31.267,4,
1421,2,1417,2012-08-02T21:57:17.050,6,,777,,2012-08-03T08:54:05.530,2012-08-03T08:54:05.530,0,
1494,2,1484,2012-08-08T04:59:43.283,1,,1056,,2012-08-08T09:26:05.353,2012-08-08T09:26:05.353,6,
1622,2,1621,2012-08-16T11:39:53.483,6,,1070,,2012-08-16T11:39:53.483,2020-06-16T10:47:29.480,2,
1857,2,1552,2012-09-12T12:06:13.213,3,,1477,,2012-09-12T13:03:28.730,2012-09-12T13:03:28.730,0,
1950,2,1945,2012-09-20T15:14:27.920,0,,1431,,2012-09-20T15:14:27.920,,0,
2087,2,2086,2012-10-04T19:00:32.150,93,,86,,2019-07-18T21:37:26.353,2019-07-18T21:37:26.353,13,
3349,2,3338,2012-10-25T19:32:15.127,1,,1592,,2012-10-26T11:39:53.990,2012-10-26T11:39:53.990,7,
3620,2,1270,2012-11-17T16:03:38.080,4,,797,,2017-08-12T12:08:06.490,2017-08-12T12:08:06.490,0,
3882,2,3881,2012-12-06T23:56:43.633,4,,1101,,2012-12-07T00:15:08.747,2012-12-07T00:15:08.747,7,
3902,2,3898,2012-12-08T17:30:10.693,-1,,3665,,2013-01-10T07:05:45.457,2013-01-10T07:05:45.457,3,
4022,2,639,2012-12-17T08:33:52.050,7,,3810,,2012-12-17T08:33:52.050,,1,
4052,2,3627,2012-12-19T15:31:43.623,7,,1097,,2012-12-19T15:31:43.623,,0,
4599,2,4533,2013-01-21T17:22:59.377,2,,5537,,2013-01-22T11:04:53.660,2013-01-22T11:04:53.660,0,
4629,2,4625,2013-01-23T08:59:23.340,10,,894,,2013-02-03T02:30:35.083,2017-04-13T12:56:22.977,12,
4632,2,4625,2013-01-23T13:14:17.047,16,,5575,,2016-12-30T15:35:19.643,2017-04-13T12:56:25.647,0,
4747,2,4745,2013-01-29T20:24:51.690,9,,5538,,2013-01-29T20:55:14.313,2013-01-29T20:55:14.313,3,
4748,2,1207,2013-01-29T22:47:32.493,4,,4387,,2013-01-29T22:47:32.493,,0,
4877,2,4870,2013-02-07T09:47:56.390,1,,5458,,2013-02-07T09:47:56.390,,0,
4886,2,4884,2013-02-07T13:56:07.247,2,,1101,,2013-02-07T14:18:09.907,2013-02-07T14:18:09.907,0,
5001,2,5000,2013-02-16T19:54:12.450,3,,2972,,2013-02-16T19:54:12.450,2017-04-13T12:56:23.120,2,
5109,2,5097,2013-02-24T20:49:57.527,3,,1284,,2013-02-24T20:49:57.527,,0,
5198,2,4640,2013-03-02T03:34:05.067,4,,4395,,2013-12-14T15:39:54.020,2013-12-14T15:39:54.020,6,
6787,2,6782,2013-04-04T14:49:45.250,8,,6090,,2013-04-04T14:49:45.250,,2,
6979,2,6978,2013-04-12T11:10:01.660,13,,2972,,2018-02-05T14:14:19.510,2018-02-05T14:14:19.510,3,
6990,2,6807,2013-04-12T19:05:56.507,0,,6908,,2013-04-12T19:05:56.507,,0,
7013,2,7010,2013-04-13T17:08:00.883,3,,3918,,2013-04-13T21:48:37.097,2013-04-13T21:48:37.097,2,
7172,2,7092,2013-04-24T18:21:01.150,2,,6128,,2013-04-24T18:21:01.150,,0,
7192,2,7177,2013-04-26T07:53:25.947,35,,1390,,2015-05-29T07:27:02.117,2015-05-29T07:27:02.117,3,
7304,2,7301,2013-05-06T16:20:37.517,2,,1097,,2013-05-07T02:28:53.073,2013-05-07T02:28:53.073,0,
7396,2,6782,2013-05-13T17:08:59.593,6,,7232,,2013-05-13T17:08:59.593,2017-04-13T12:37:13.353,0,
7434,2,1130,2013-05-15T12:32:13.007,1,,7381,,2013-05-15T12:32:13.007,,1,
7666,2,935,2013-05-28T07:31:22.117,0,,7664,,2013-06-04T13:12:42.117,2013-06-04T13:12:42.117,1,
7685,2,5503,2013-05-29T00:37:01.443,2,,7040,,2013-05-29T00:37:01.443,,2,
7845,2,7842,2013-06-07T23:12:46.717,1,,7274,,2013-06-07T23:17:51.203,2013-06-07T23:17:51.203,2,
7873,2,7790,2013-06-09T02:53:59.063,2,,7867,,2013-06-09T04:40:42.813,2013-06-09T04:40:42.813,1,
7936,2,7933,2013-06-12T09:28:45.807,3,,7274,,2013-06-12T09:28:45.807,,0,
8048,2,8044,2013-06-19T19:55:03.863,6,,7274,,2013-06-19T19:55:03.863,,3,
8057,2,8053,2013-06-20T15:54:07.503,3,,7274,,2013-06-20T15:54:07.503,,1,
8060,2,8044,2013-06-20T23:34:58.287,2,,7968,,2013-06-20T23:34:58.287,,2,
8274,2,8270,2013-07-04T05:46:25.013,3,,8314,,2013-07-04T10:03:38.397,2013-07-04T10:03:38.397,0,
8278,2,8270,2013-07-04T08:45:37.793,1,,894,,2013-07-04T08:45:37.793,,0,
8314,2,8305,2013-07-07T13:22:33.507,17,,5538,,2015-10-31T02:22:55.093,2015-10-31T02:22:55.093,3,
8433,2,7788,2013-07-14T20:39:11.470,3,,4223,,2013-07-14T20:44:15.523,2013-07-14T20:44:15.523,3,
8548,2,8544,2013-07-22T14:37:05.997,8,,7155,,2013-07-23T13:35:36.077,2013-07-23T13:35:36.077,2,
8556,2,8544,2013-07-23T07:03:24.270,1,,8596,,2013-07-23T07:03:24.270,,0,
8606,2,8605,2013-07-25T17:37:20.983,4,,8631,,2013-07-25T18:02:36.843,2013-07-25T18:02:36.843,3,
8623,2,8586,2013-07-26T16:41:07.127,5,,8596,,2013-07-26T20:04:41.300,2013-07-26T20:04:41.300,0,
8703,2,8698,2013-07-30T21:57:16.123,12,,1311,,2017-02-27T20:58:52.110,2017-02-27T20:58:52.110,4,
8855,2,8808,2013-08-06T12:19:40.273,7,,6406,,2016-12-30T12:21:48.627,2016-12-30T12:21:48.627,8,
8907,2,4906,2013-08-08T14:00:14.857,5,,8681,,2013-08-08T14:00:14.857,,2,
8958,2,3475,2013-08-11T18:48:36.380,6,,6406,,2013-08-11T18:48:36.380,2017-04-13T12:56:23.633,0,
9010,2,9009,2013-08-14T12:15:02.200,7,,3759,,2013-08-15T08:35:43.367,2013-08-15T08:35:43.367,7,
9040,2,8638,2013-08-15T22:26:48.237,2,,2972,,2013-08-19T05:11:52.113,2013-08-19T05:11:52.113,0,
9062,2,9059,2013-08-16T21:30:35.803,13,,7863,,2013-08-16T21:30:35.803,,0,
9116,2,9110,2013-08-20T15:22:49.837,0,,8992,,2013-08-20T15:22:49.837,,0,
9321,2,9260,2013-08-29T07:54:42.913,2,,6283,,2013-08-29T07:54:42.913,,5,
9835,2,8757,2013-09-29T13:29:25.550,7,,9781,,2013-09-29T13:35:39.173,2013-09-29T13:35:39.173,0,
9839,2,9430,2013-09-29T17:56:50.677,1,,9776,,2013-09-29T17:56:50.677,2017-04-13T12:59:10.937,1,
9884,2,9880,2013-10-01T16:35:40.117,1,,7381,,2013-10-01T19:42:15.557,2013-10-01T19:42:15.557,3,
9965,2,9795,2013-10-05T07:56:39.897,6,,7309,,2013-10-05T08:22:34.030,2013-10-05T08:22:34.030,4,
10114,2,10100,2013-10-14T03:42:11.893,3,,7274,,2013-10-14T03:42:11.893,,6,
10134,2,10124,2013-10-15T11:38:25.697,2,,8992,,2013-10-15T11:38:25.697,,9,
10153,2,10151,2013-10-16T04:38:08.370,7,,7274,,2013-10-17T15:23:10.987,2013-10-17T15:23:10.987,6,
10306,2,10304,2013-10-25T02:21:59.640,3,,10215,,2013-10-25T02:31:29.690,2013-10-25T02:31:29.690,0,
10465,2,10444,2013-11-01T01:57:24.407,2,,7274,,2013-11-01T01:57:24.407,,0,
10477,2,10464,2013-11-01T19:08:38.043,0,,9741,,2013-11-01T19:08:38.043,,1,
10590,2,10571,2013-11-07T14:12:13.713,1,,10364,,2013-11-07T14:12:13.713,,2,
11832,2,11828,2013-11-20T22:53:26.903,1,,8631,,2013-11-20T22:53:26.903,,0,
11834,2,11662,2013-11-21T12:09:29.520,0,,7381,,2013-11-21T12:09:29.520,,1,
11851,2,11772,2013-11-22T02:41:06.417,1,,8631,,2013-11-22T02:41:06.417,,0,
12001,2,11996,2013-11-29T21:12:17.377,6,,5538,,2014-01-23T18:25:03.610,2017-04-13T12:56:22.537,2,
12057,2,12029,2013-12-02T23:40:31.107,4,,7274,,2013-12-02T23:40:31.107,,0,
12087,2,12079,2013-12-04T15:46:15.910,1,,5538,,2013-12-04T15:46:15.910,2017-05-23T12:37:05.627,0,
12106,2,12105,2013-12-05T04:25:17.290,9,,8631,,2013-12-05T04:25:17.290,,0,
12229,2,12209,2013-12-11T12:01:53.523,9,,5538,,2013-12-16T15:34:14.043,2017-05-23T12:37:05.627,8,
12244,2,12243,2013-12-12T14:41:54.260,1,,5538,,2013-12-12T14:47:52.767,2013-12-12T14:47:52.767,0,
