User_ID,Reputation,CreationDate,LastAccessDate,Views,UpVotes,DownVotes,AccountId
1101,4394,2012-08-10T22:36:03.477,2021-02-27T13:34:35.287,155,26,0,1738988
1284,1318,2012-08-26T14:03:50.820,2021-09-06T18:42:35.387,222,176,47,1225114
3918,601,2012-12-21T20:34:41.870,2020-11-14T22:09:19.710,15,14,0,202756
5538,54773,2013-01-21T17:18:33.093,2021-12-03T19:54:27.127,7454,6626,488,1175614
6128,573,2013-02-22T03:33:13.483,2021-10-04T13:47:08.567,56,29,0,113722
7381,1447,2013-05-13T08:05:50.867,2019-10-24T12:56:51.557,95,36,1,2759748
8631,8058,2013-07-23T17:06:32.660,2021-10-13T02:28:37.557,678,633,25,2189891
8697,51162,2013-07-27T06:19:21.510,2021-12-05T02:33:20.573,4178,432,2458,445666
12729,3868,2014-02-10T17:49:17.567,2021-12-01T14:08:27.880,629,48,0,1571401
13281,1150,2014-03-04T19:29:08.090,2021-11-06T15:10:55.070,172,145,3,480155
13650,65078,2014-03-21T20:46:43.627,2021-12-04T22:58:39.550,4605,832,639,4210198
33476,24710,2015-08-05T15:25:19.620,2021-12-03T14:45:25.010,2214,1020,1253,5471272
38030,131,2015-12-10T02:59:32.087,2021-02-20T21:50:36.033,6,14,0,2169666
42330,201,2016-03-01T20:30:10.710,2021-10-09T14:10:08.157,15,2,0,7831442
46067,41,2016-05-04T21:15:25.873,2019-05-13T23:12:02.300,4,1,0,4315672
65955,13,2017-04-21T15:13:20.180,2021-06-09T08:45:31.553,2,0,0,6149411
73672,389,2017-09-21T03:51:34.247,2021-10-18T04:33:14.187,60,131,1,1581709
76147,195,2017-11-12T19:05:06.637,2020-06-21T19:06:41.180,27,15,0,2623028
81344,49,2018-02-23T03:14:56.243,2018-08-26T18:07:07.500,12,0,0,13004688
83927,226,2018-03-25T00:50:55.790,2021-12-01T20:03:31.057,9,1,0,4664401
120593,11,2020-06-03T20:44:58.523,2021-05-20T13:51:36.710,2,0,0,15811886
139469,1,2021-09-27T06:51:53.973,2021-09-27T06:51:53.973,0,0,0,5514589
