UserId,PostId,Time Difference (s),,,Time difference is the number of seconds between post creation date and user creation date
1101,4886,15607204,,,
1284,5109,15749167,,,
3918,7013,9750799,,,
5538,102431,209351681,,,
6128,7172,5323668,,,
7381,7434,188783,,,
8631,12106,11618325,,,
8697,130530,253398171,,,
12729,26746,28964158,,,
13281,22683,13710189,,,
13650,127938,230150223,,,
33476,59255,43568861,,,
38030,39225,12633,,,
42330,92355,89156108,,,
46067,46949,92864,,,
65955,71894,11307858,,,
73672,78348,10967024,,,
76147,99180,48958367,,,
81344,81747,2489445,,,
83927,111719,65851514,,,
120593,113177,168285,,,
139469,132367,17,,,
