PostId,Body
111719,"My understanding so far is that (as has been stated) the sysfs interface is deprecated. 
There are at least two relatively new C APIs in user space (apologies to WiringPi and PiGpio). One or both seem to have the label libgpiodThey can be installed on buster (but not jessie) with: Not sure about stretch.
Also not sure which API requires which installs. 1) The first C API relies on /usr/include/linux/gpio.h which holds data structures and defines used with system calls to interact with the gpios. This is written by Linus Walleij. An example of this API is shown below, and is derived from a talk by Linus Walleij indicated in the code comments. Programs using this API must have the #includes shown in the example below but don't need to be compiled with any libraries (AFAIK). 2) The second C API relies on /usr/include/gpiod.h which provides a simplified interface that abstracts setup and handles and allows contextless reads, writes, and other functions. This is maintained by Bartosz Golaszewski. An introduction to the API is given in some slides by Bartosz which can be found at:https://ostconf.com/system/attachments/files/000/001/532/original/Linux_Piter_2018_-_New_GPIO_interface_for_linux_userspace.pdf?1541021776Some good examples using this API can be found at: https://framagit.org/cpb/example-programs-using-libgpiod/-/tree/master/Note that programs using this API must:and be compiled with the -lgpiod library (for example):I've successfully compiled and run some of the examples.  **
There is a C++ API also provided by Bartosz Golaszewski that depends on /usr/include/gpiod.hpp.  It is a C++ a wrapper based on the C API and depends on the C++11 standard. Programs using this API must:An example of using this API is found in the same slides as the C API.https://ostconf.com/system/attachments/files/000/001/532/original/Linux_Piter_2018_-_New_GPIO_interface_for_linux_userspace.pdf?1541021776 I have yet to get these examples to compile, but suspect there is a library inclusion I have yet to discover.Below is an example gpio read program using the C API number 1 from above (the one authored by Linus Walleij). It repeatedly reads gpio 4 on /dev/gpiochip0 and prints it's value. Compile with Execute:This will show the value of the specific gpio offset every 0.25 seconds."
113154,I am not impressed with libgpiod.  Frankly it seems to be a retrograde step compared to sysfs.Here is some partial code which calls up other not included code.  It should give you enough of an idea to get your own code working.
113177,"btw:   this is a code ""example"" I saw ..  it looks very simple (as working with libgpiod is said to be, but doesn't work).  There is also a regular input source file, which also doesn't work.  There is a pin out put file, that I did get to work.here's is an event example I found a few days back:"
12087,"There are two basic ways to run another executable using C on linux: system() and exec(), although exec() isn't really a function, it's a group of functions, execl(), execv() etc.  They all have the same man page, so you can see the list via e.g. man execl.system() is fine if what you want to do is launch another application and wait for it to finish, and you don't need to interact with or gather output from the other process.If the context is that you don't want to wait for the other process to finish -- i.e., you want your program to go on running and RaspiStill to work in the background -- you need to combine exec() and fork().  The exec() functions replace the current process with a new one.  In other words, exec() never returns; it's the last line of your code that will execute.This is why you want to  combine it with fork(), which creates a child process.  You then call exec() in the child (note there is no main function here yet):If you haven't used fork() before, you need to understand that because it literally forks the program into two, after fork() you have TWO programs running, the parent and the child.  In the parent program, fork() will have returned the PID of the child process (if it returns -1, it failed, and there is no child; this shouldn't normally happen).  In the child program, it will have returned 0.  So you can use this to create two diverging branches of execution -- the parent does one thing while the child does another:What will probably happen when you run this is something like:Notice ""Hello world"" appeared first, then the program seemed to end (which is why the prompt came back), then the output from ls appeared.  I said this is probably what will happen because it could have been the other way around -- those are two programs running simultaneously, so who does what first is indeterminate (but in this case the parent will probably be quicker to output).Note it is generally not good to have the parent finish before a child does, if that is a concern see man 2 waitpid.Two things I want to point out about the use of exec();The first arg to those functions is always the path to the executable.  Since ls is probably in $PATH, I just used ""ls"".  The next arg (or in the case of execvp, the first element in the 2nd arg array) should be the name of the executable.  This is actually the same as the first arg in the arg array passed to a program's main() function -- it's always the name of the program executable itself.  Most programs don't make any use of this, so it can probably be anything; I used ""ls"" again:So using, e.g., execl();If the executable isn't in $PATH, put the path in the first arg (""/bin/ls"") but not in the second. exec() doens't return unless it fails, which can happen if it can't find the path you've specified.  That's why there's an exit() in the last if clause of forkAndExecute().If you want to send data to the child process's standard input, or read from its output, you need to use fork(), exec(), and pipe() to connect the child's file descriptors to something the parent can read from/write to.BTW, general C questions are better off on Stack Overflow.  fork() and execute() actually aren't standard C, they're POSIX (hence, unistd.h), but any C programmer who didn't grow up in a cave is probably aware of them."
12106,"There are multiple approaches to accomplish what you want.  They way I am going to describe is probably going to have a learning curve though, because I used C.  Most of the information I used came from this very helpful guide.With this method, you are going to need a client and a server to communicate between the two Raspberry Pis.  The exchange of information between client and server is summarized in this diagram:                                 Here is some C code for a server and client.  All this server does is send the string ""Hello, World!\n"" out over a stream connection. All you need to do to test this server is run it in one window, and telnet to it from another with:(where remotehostname is the name of the machine you're running it on)Here is the server.c code:Here is the client.c code:You can read further into that guide I linked to learn how to develop more advanced communication between clients and servers."
122067,I have some pigpio example code to generate a pulse per second.It's some time since I have tested it.http://abyz.me.uk/rpi/pigpio/examples.html#C_pps_cIt generates a pulse on the wall time second.If the Pi is connected to a time source (i.e. it is networked) it will use that as wall time.
124243,"""The output I receive is serial test start ...
What am I doing wrong?""You should use /dev/serial0There seems to be nothing wrong with the program, it is probably doing what you instructed it to do
i.e. Send a line; then read input and resend the characters over serial, presumably producing an infinite loop.What do you expect it to do?Incidentally WiringPi is deprecated. You should look into other tools, as it is unlikely to be included in the next Raspberry Pi OSThe following code is a program I used to read strings (in the days when I used WiringPi) - this was 7 years ago before /dev/serial0, but there are plenty of code samples in other languages or using other libraries."
127938,I can't see anything obviously wrong.  Perhaps the peripheral base is different for the Pi3B+.Here is some code to compare against.
130530,"I wrote programs for a number of libraries, both c and python.
These just toggle a GPIO pin as fast as possible.NOTE In case anyone misunderstands I am aware this is an artificial test with no real world use and there are far better (and faster) ways of generating a ""square"" wave. It is indicative of the response to programmed GPIO commands.pigpio is quite slow; this is to be expected due to the socket interface which has significant overhead.WiringPI is extremely fast (I would expect the BCM2835 to perform similarly although I did not test). This is expected as they directly access GPIO registers.RPi.GPIO is very fast - the underlying /dev/gpiomem code is written in c  to directly access GPIO registers.lgpio C library allows control of the GPIO pins through the gpiochip kernel interface is also very fast.This post has been referenced elsewhere and (as I feared) misinterpreted. If I wanted a program which runs as fast as possible I would not use any library.Joan has pointed out pigpiod uses a client server model and each toggle requires a couple of network messages which accounts for the dramatic performance difference. It would be more sensible to compare against pigpio.I did not include pigpio for the simple reason that I do not use it. It is incompatible with pigpiod (which I do use) and only allows a single program to run at a time.I have added pigpio code which is much faster (even when run on a different model Pi).The code is listed below:-I was asked what Pi I used. I can't remember, as I ran this code on a number of Pi (including a Pi3+ running Bullseye). The results above were probably on a Pi 4 Model B Rev 1.1, but there wasn't much difference.While investigating GPIO hysteresis I ran a program which used the GPIO as a Schmitt trigger Hysteresis - on or off?.This produced erratic results and was quite slow, indicating significant overhead in pigpiod. I wrote an assembler program to do similar.I then decided to investigate the overheads of various libraries and the results are above.The faster results were quite erratic (as expected) and depended more on what else the OS was doing."
132367,Here's my complete code for checking a 26bit rfid card to grant or deny access for a control access system.
