PostId,Body
1027460,"Well, you can use a std::string that will take care of all memory allocationEdit : 
If it is the call to malloc() that you want to avoid you could do this :This will waste some memory however, which can be an issue on embedded platforms."
10687971,"You have a redundant check causing an infinite loop.Now, since this is clearly homework, I'll just give some general advice. In general, you use recursion to make a problem of a particular size smaller. Figure out what part of the problem is getting smaller each iteration, and just make each iteration a recursive call instead of a loop (hint: this means you'll probably want to pass some value into the method to tell you the size and/or location of the current iteration). And remember to have a check either at the beginning of the method or before you recurse to check the size of the problem.This isn't how I was thinking of doing it, but I believe it should work once you fix the problems I've pointed out (and possibly some I missed)."
11069389,I think you  want to do something like this to read in the data:Then use atoi() to convert the data to integers and use them.
12483533,
12666409,"I don't know Python, however, what is wrong with the Arduino sending the number like this:For the Arduino to receive a float:Note this code is untested although very similar to code I have used in the past."
13493939,"getPressure() has no return type!  According to the cpp you posted, your header file should declare the method as float getPressure(); so change your header file to:to correspond with the definition which isAlso, keep in mind that you should review your constructor as it is not declared in your header. Also, doing something likeis really weird. What are the variables on the left?  You are initializing them with your uninitialized members (those on the right, starting with _). You should consider giving an initial value to these members (like 0?)Changing your constructor to something like:To make sure your member variables are initialized with a ""known"" value.Also, most of these values seem temporary (you might not need them outside of a call to getPressure(). In this case, consider moving all these bytes to the scope of the function instead of inside the sensor class to avoid using unnecessary memory - there is not that much available on Arduinos.You will also need to add MPL3115A2(); in the public part of your MPL3115A2 class, this is because you are defining a body for this constructor in the CPP file, therefore you need to declare it so that it's part of the object."
14166964,"It's pretty easy if you just use base 2 as an intermediate.  You can convert from a string in any base to base 2 like this:Then to convert to base 10 is trivial:To print out a number in base 12 is a bit tougher - there isn't a built-in function that already does it, so you need to write your own (with some helpers to keep things clean):You'd use it like:You probably want to add better error handling than I have there - I was shooting for a short implementation for purposes of fitting it here cleanly."
14933653,"The problem looks to be due to getClass(), getSubClass() and getDataValue() returning local variables (returnStr). As soon as the functions return these values will be lost.A few ways to avoid this:Return a String object (a local String will get copied on the way out of the functions):Dynamically allocate the char* within the functions (using malloc()) - if you do this you'll need to be careful to deallocate it afterwards (using free()):Pass a pre-allocated char array into the functions - this can be a local variable in the calling function:"
15522215,"Not having the exact code:Pretty sure you're having this problem b/c something between the malloc and free is throwing (and you're probably catching it already so you don't exit the loop).  Depending on if this is happening in C (or objective-C) or C++ code, you have slightly different methods of resolution.In C++, wrap the malloc/free in the RAII pattern so that when the stack is unwound the free is called.In Objective-C you need to use a finally block:"
15524630,"In C++, if you have a C++11 capable compiler and you use std::vector instead of raw arrays, you could use initializer lists:"
15599741,You can use boost::function<> or boost::bind<> to point to a class member function:
16378017,"Short answer: learn how to use loops (for and while) and arrays.A longer one:define M like this:(replace ... with rest of the values)and change the LedBar function to:also, in setup, instead of pinMode (L.., OUTPUT); lines you can write:"
16537096,"To blink a Led without blocking the program, i suggest you use Timer (and the TimerOne library). I make a quick sample code :  Note :
Consider putting the tag 'c' or 'java' to have syntax highlighting on the code."
16725027,"I take zero credit for this code as I pulled it from a thread on the Arduino forums (http://forum.arduino.cc/index.php?topic=112733.0).  It writes a .bmp file to an SD card.  Another discussion indicated that because of the compression algorithms associated with JPG and PNG files, the amount of code to make those work would be more difficult to fit on an Arduino, which makes sense in my head (http://forum.arduino.cc/index.php?topic=76376.0).  Hope this helps.  Definitely not an expert with Arduino - just tinkered a bit."
16978220,"You're just reading blocks of 300 characters, so there is no string termination \0.You'll have to look at n to see how much data you have read and then process the data before printing it i.e. look for the ^J^M and terminate the line,then continue reading the rest of the data.  FYI ^J^M is Windows line termination (it's just ^J form linux)The following should read multiple messages and convert ^ and J to \n and ignore ^M.Note this uses STDIN, not a serial port."
17394825,"instead of doing the following:I'd advise you to index the error category (1000s, 2000s etc..) as first index of a matrix, and the actual error as second index of the array:Here's the idea:(edit) Here's a valid syntax:the only drawback will be that you shall specify the length of the inner array, and thus need to have the same number of string in each inner array.And then you could code a function that does status code conversion:That solution does not use more memory than using one array (just one more pointer). The only downside of that is if you need status code that are not contiguous, like 1000, 1010, 1042 and 1300. Then there is no cool solution I can think of, except using a good old switch/case:(edit) I had a third idea on how to deal with your problem:But I think the solution that uses the less memory of all three solution is the second one using use cases. Because everything is done in program memory, and all the strings are in the flash thanks to the F() macro. To save a few extra bytes, you could even make the fmt_error() function inline, so it does not add to the function call stack.HTH"
